name,population_code,population_latitude,population_longitude,site_name,survey_date,maternal_number,comments
Tradescantia ohiensis,4093,40.498,-94.1043,Dunn Ranch Prairie,2014-07-15,100,
Tradescantia ohiensis,4037,40.49792,-94.09839,Dunn Ranch Prairie,2014-07-15,100,
Tradescantia ohiensis,4038,41.32707,-85.52946,Merry Lea Environmental Learning Center,2014-07-17,100,
Tradescantia ohiensis,4039,41.32135,-85.53234,Merry Lea Environmental Learning Center,2014-07-17,100,
Salvia lyrata,6079,35.06035,-83.43024,Coweeta Hydrologic Laboratory,2014-07-24,100,
Dactylis glomerata,4042,41.32409,-85.50744,Merry Lea Environmental Learning Center,2014-07-17,100,
Tradescantia ohiensis,4043,41.88869,-89.33251,Nachusa Grasslands,2014-07-19,100,
Dactylis glomerata,4044,41.92218,-89.3445,Nachusa Grasslands,2014-07-19,100,
Tradescantia ohiensis,4045,41.86578,-89.36946,Nachusa Grasslands,2014-07-19,100,
Echinacea pallida,4080,41.6892,-94.58641,Sheeder Prairie State Preserve,2014-09-19,100,
Ratibida pinnata,4081,41.6892,-94.58641,Sheeder Prairie State Preserve,2014-09-19,100,
Chamaecrista fasciculata,4082,41.69065,-94.58641,Sheeder Prairie State Preserve,2014-09-19,151,
Dactylis glomerata,4041,41.32088,-85.53254,Merry Lea Environmental Learning Center,2014-07-17,54,
Amorpha canescens,4083,43.39582,-95.2486,Cayler Prairie State Preserve,2014-09-20,100,
Sorghastrum nutans,4084,43.39582,-95.2486,Cayler Prairie State Preserve,2014-09-20,100,
Ratibida pinnata,4085,43.39582,-95.2486,Cayler Prairie State Preserve,2014-09-20,100,
Schizachyrium scoparium,4086,43.39582,-95.2486,Cayler Prairie State Preserve,2014-09-20,100,
Eryngium yuccifolium,4087,43.43897,-94.86086,Anderson Prairie State Preserve,2014-09-21,100,
Echinacea pallida,4088,47.35068,-100.27631,Davis Ranch,2014-10-05,200,
Dalea purpurea,4089,47.35068,-100.27631,Davis Ranch,2014-10-05,100,
Ratibida columnifera,4090,47.35048,-100.27596,Davis Ranch,2014-10-05,100,
Dalea purpurea,4091,47.21293,-101.00642,Cross Ranch Preserve,2014-10-06,100,
Asclepias syriaca,4092,47.22292,-101.01174,Cross Ranch Preserve,2014-10-06,50,
Melilotus officinalis,4062,42.85715,-103.58369,Oglala National Grassland,2014-08-13,100,
Bromus inermis,4063,42.85723,-103.58356,Oglala National Grassland,2014-08-13,100,
Bouteloua curtipendula,4064,42.85715,-103.58369,Oglala National Grassland,2014-08-13,200,
Melilotus officinalis,4067,43.28589,-103.06143,Buffalo Gap National Grassland,2014-08-14,100,
Bromus inermis,4068,43.05842,-90.88438,Adiantum Woods State Natural Area,2014-08-28,100,
Dactylis glomerata,4069,43.05779,-90.88289,Adiantum Woods State Natural Area,2014-08-28,100,
Impatiens pallida,4073,42.68394,-89.48398,Abraham's Woods State Natural Area,2014-08-31,100,
Impatiens pallida,4070,41.84688,-88.26025,Fermi National Accelerator Laboratory,2014-08-29,81,
Impatiens pallida,4074,42.68544,-89.48163,Abraham's Woods State Natural Area,2014-08-31,67,
Brassica nigra,6085,41.31167,-74.00718,Bear Mountain State Park,2014-07-16,40,
Bouteloua curtipendula,4050,35.60627,-99.64521,Black Kettle National Grassland,2014-08-06,200,
Bouteloua curtipendula,4051,35.6327,-99.87585,Black Kettle National Grassland,2014-08-06,200,
Bouteloua curtipendula,4052,33.68525,-103.39033,Milnesand Prairie Preserve,2014-08-08,120,
Bouteloua curtipendula,4053,33.6027,-103.35718,Milnesand Prairie Preserve,2014-08-08,89,
Helianthus petiolaris,4055,37.14183,-101.80133,Cimarron National Grassland,2014-08-09,200,
Impatiens capensis,4071,41.84665,-88.26081,Fermi National Accelerator Laboratory,2014-08-29,70,
Helianthus petiolaris,4054,37.12506,-101.86069,Cimarron National Grassland,2014-08-09,200,
Rumex crispus,6090,39.94057,-74.7466,Bishop Farmstead,2014-07-26,63,
Rumex crispus,6086,36.02731,-78.99506,Duke Forest,2014-07-23,100,
Panicum virgatum,6078,35.089201,-79.01601,Mason Farm Biological Reserve (Chapel Hill Botanical Garden),2014-07-23,28,
Dactylis glomerata,6087,37.38555,-79.53995,Claytor Nature Study Center run by Lynchburg College,2014-07-25,100,
Bromus inermis,6088,39.06196,-78.06997,Blandy Experimental Farm,2014-07-25,110,
Bromus inermis,6091,41.67379,-73.89697,Vassar Ecological Preserve,2014-07-29,100,
Penstemon digitalis,6092,40.5501,-74.62548,Duke Farms,2014-08-23,100,
Andropogon virginicus,6125,35.883056,-79.018056,Mason Farm Biological Reserve (Chapel Hill Botanical Garden),2014-11-30,105,
Andropogon virginicus,6124,35.891944,-79.015833,Mason Farm Biological Reserve (Chapel Hill Botanical Garden),2014-11-30,54,
Apocynum androsaemifolium,6123,39.941786,-74.744906,Bishop Farmstead,2014-11-16,100,
Echinacea purpurea,6122,39.067325,-78.058286,Blandy Experimental Farm,2014-11-15,100,
Hypericum perforatum,6121,43.33847,-70.55125,Wells National Estuarine Research Reserve,2014-10-26,100,
Stipa pulchra,27,37.38903,-121.7487,Blue Oak Ranch Reserve,2013-05-06,83,
Bromus tectorum,133,39.24136,-105.26553,Pike National Forest,2014-06-22,54,
Bromus tectorum,100,39.56764,-111.68631,Maple Canyon Campground,2014-06-15,100,
Bromus tectorum,102,39.35116,-112.29659,Fish Lake National Forest,2014-06-15,100,
Bromus tectorum,88,34.81487,-109.86491,Petrified Forest National Park,2014-06-12,71,
Brassica nigra,3078,40.3354164,-95.1437021,Bilby Ranch Lake Conservation Area,2014-06-05,200,
Asclepias syriaca,6093,41.663891,-73.90176,Vassar Ecological Preserve,2014-09-27,60,
Rudbeckia hirta,6094,40.5473,-74.62195,Duke Farms,2014-10-11,56,
Helianthus petiolaris,6095,40.5439,-74.62598,Duke Farms,2014-10-11,22,
Apocynum androsaemifolium,6096,41.12793,-73.73138,Louis Calder Biological Field Station,2014-10-11,26,
Schizachyrium scoparium,6097,43.9359,-71.68433,Hubbard Brook,2014-10-25,95,
Rudbeckia hirta,6098,43.93634,-71.68425,Hubbard Brook,2014-10-25,65,
Schizachyrium scoparium,6099,43.33847,-70.55125,Wells National Estuarine Research Reserve,2014-10-26,100,
Dactylis glomerata,6103,42.53142,-72.18929,Harvard Forest,2014-07-05,100,
Dactylis glomerata,6104,42.72337,-73.22401,Hopkins Memorial Forest,2014-07-06,100,
Dactylis glomerata,6105,42.72566,-73.22653,Hopkins Memorial Forest,2014-07-06,100,
Triodanis perfoliata,3080,36.5672119,-93.0962824,Bull Shoals Field Station,2014-06-07,67,
Rumex crispus,6107,37.39087,-79.53807,Claytor Nature Study Center run by Lynchburg College,2014-07-19,100,
Rudbeckia hirta,6115,39.057566,-78.058953,Blandy Experimental Farm,2014-11-15,42,
Sorghastrum nutans,6116,39.063611,-78.063056,Blandy Experimental Farm,2014-11-15,100,
Panicum virgatum,6117,39.063611,-78.063056,Blandy Experimental Farm,2014-11-15,100,
Andropogon gerardi,6118,39.063611,-78.063056,Blandy Experimental Farm,2014-11-15,100,
Andropogon virginicus,6119,39.067325,-78.058286,Blandy Experimental Farm,2014-11-15,100,
Rudbeckia hirta,6120,43.34202,-70.55061,Wells National Estuarine Research Reserve,2014-10-26,98,
Brassica rapa,3090,40.4986513,-94.0989388,Dunn Ranch Prairie,2014-06-27,200,
Brassica rapa,3077,40.5009488,-94.1061484,Dunn Ranch Prairie,2014-06-04,200,
Salvia lyrata,3081,36.5718551,-93.0573072,Bull Shoals Field Station,2014-06-07,71,
Impatiens pallida,3082,36.5234775,-93.0891371,Bull Shoals Field Station,2014-06-07,38,
Dalea candida,3097,44.7900185,-92.9551823,Gray Cloud Dunes SNA,2014-08-10,57,
Dalea purpurea,3100,40.5239272,-94.1234102,Dunn Ranch Prairie,2014-08-12,100,
Rudbeckia hirta,3099,40.517874,-94.1420891,Dunn Ranch Prairie,2014-08-12,100,
Dalea purpurea,3098,40.5199456,-94.1389202,Dunn Ranch Prairie,2014-08-12,100,
Melilotus officinalis,3101,40.5006461,-94.1059988,Dunn Ranch Prairie,2014-08-12,100,
Rudbeckia hirta,3105,40.4908159,-94.0951919,Dunn Ranch Prairie,2014-08-13,100,
Dactylis glomerata,3104,40.4867693,-94.096112,Dunn Ranch Prairie,2014-08-13,100,
Dactylis glomerata,3103,40.4768912,-94.0966878,Dunn Ranch Prairie,2014-08-13,100,
Melilotus officinalis,3102,40.4858341,-94.1064697,Dunn Ranch Prairie,2014-08-13,100,
Rudbeckia hirta,3115,36.5721608,-93.0895288,Bull Shoals Field Station,2014-08-17,100,
Ratibida pinnata,3114,36.566497,-93.0975785,Bull Shoals Field Station,2014-08-17,100,
Dalea purpurea,3113,36.566497,-93.0975785,Bull Shoals Field Station,2014-08-17,100,
Rudbeckia hirta,3112,36.5743366,-93.0594649,Bull Shoals Field Station,2014-08-17,100,
Dalea purpurea,3111,36.5743366,-93.0594649,Bull Shoals Field Station,2014-08-17,59,
Impatiens capensis,3127,47.2117843,-95.1777655,Itasca State Park,2014-09-02,23,
Impatiens capensis,3128,47.2396632,-95.2076408,Itasca State Park,2014-09-02,200,
Bromus inermis,3141,41.8814169,-89.3424923,Nachusa Grasslands,2014-09-18,100,
